time,open,high,low,close,vol,%,id,timestamp,"Vol (20)","Vol (20)","MACD","MACD","MACD","MACD"
1265034600,108.14999,111.58,104.58,110.74001,4451911072,3.12,205,2010-02-01 14:30:00,4451911072,5881049941.6,3.253949209634799,0,-4.276395637720952,-7.530344847355751
1267453800,111.2,118.1666,111.17,117,3899883248,5.65,206,2010-03-01 14:30:00,3899883248,5718059822.4,3.631169403916137,0,-2.9913830924605804,-6.622552496376717
1270128600,117.8,122.12,117.10001,118.8125,4011095920,1.55,207,2010-04-01 13:30:00,4011095920,5701388615.2,3.853297875990908,0,-1.8059301513880825,-5.65922802737899
1272893400,119.38,120.67999,104.38,109.369,7414147200,-7.95,208,2010-05-03 13:30:00,7414147200,5666745779.2,3.2394594504234675,1,-1.609903714349656,-4.8493631647731235
1275399000,108.35001,113.2,102.88,103.22,5706511392,-5.62,209,2010-06-01 13:30:00,5706511392,5357594651.2,2.3366955034566557,1,-1.9284937854523037,-4.265189288908959
1277991000,103.14999,112.28999,101.13,110.27,4723083696,6.83,210,2010-07-01 13:30:00,4723083696,5155261242.4,2.13716655795296,1,-1.5937310914677596,-3.7308976494207196
1280755800,111.99001,113.17999,104.28999,105.31,4542294160,-4.5,211,2010-08-02 13:30:00,4542294160,5035783306.4,1.6175501471295952,1,-1.7089599655087255,-3.3265101126383207
1283347800,106.73,115.78999,106.66,114.13,4047505280,8.38,212,2010-09-01 13:30:00,4047505280,4894305821.6,1.8002689484746641,0,-1.0761739270449908,-2.876442875519655
1285939800,114.99001,119.75999,113.17999,118.49001,3767748128,3.82,213,2010-10-01 13:30:00,3767748128,4718894643.2,2.1248901132770674,0,-0.2203302339233204,-2.345220347200388
1288618200,119.07001,122.95,117.59,118.49249,3984612496,0.0,214,2010-11-01 13:30:00,3984612496,4477311316,2.2385053135143087,0,0.45291129469249825,-1.7855940188218105
1291213800,120.2,126.2,120.19,125.75,2722825728,6.12,215,2010-12-01 14:30:00,2722825728,4302976632,2.6718072256047996,0,1.554165013184189,-1.1176422124206105
1294065000,126.71001,130.35001,125.6969,128.67999,2860494448,2.33,216,2011-01-03 14:30:00,2860494448,4186148812,3.000506367452446,0,2.632990746894947,-0.36751562055749887
1296570600,129.46001,134.69,129.3801,133.14999,2820163184,3.47,217,2011-02-01 14:30:00,2820163184,4074409032,3.3378526467434435,0,3.8048001878718054,0.466947541128362
1298989800,133.57001,133.69,125.28,132.59,4791180688,-0.42,218,2011-03-01 14:30:00,4791180688,4099172478.4,3.334324682676016,1,4.634853394473382,1.3005287117973658
1301664600,133.41,136.57001,129.50999,136.42999,2814799696,2.9,219,2011-04-01 13:30:00,2814799696,4042016582.4,3.3905251324371903,0,5.538685127343854,2.1481599949066634
1304343000,137.07001,137.17999,131.38,134.89999,3339322704,-1.12,220,2011-05-02 13:30:00,3339322704,4020083761.6,3.130788165277397,1,6.06164520150341,2.930857036226013
1306935000,134.50999,134.9234,126.19,131.97,4712655888,-2.17,221,2011-06-01 13:30:00,4712655888,4031611152.8,2.5901637962398376,1,6.16856178152581,3.578397985285972
1309527000,132.09,135.7,127.96671,129.33,3840979200,-2.0,222,2011-07-01 13:30:00,3840979200,4052103503.2,1.9144280452655167,1,5.9714330418678685,4.057004996602352
1312205400,130.84,130.96001,110.27,122.22,9050591824,-5.5,223,2011-08-01 13:30:00,9050591824,4360435604,0.899801956273012,1,5.181757441943617,4.281955485670605
1314883800,122.28999,123.39999,111.3,113.14999,6188596240,-7.42,224,2011-09-01 13:30:00,6188596240,4484520109.6,-0.4011797449461234,3,3.7804808044879508,4.181660549434074
1317648600,112.49001,129.42,107.42999,125.5,5717906608,10.91,225,2011-10-03 13:30:00,5717906608,4547819886.4,-0.44555398061391127,3,3.624718073666685,4.070272054280596
1320154200,122.03,128.02,116.2,124.99001,5014599984,-0.41,226,2011-11-01 13:30:00,5014599984,4603555723.2,-0.5196644796945771,3,3.420691454662375,3.940355934356952
1322749800,124.85001,127.25999,120.03,125.5,3848635120,0.41,227,2011-12-01 14:30:00,3848635120,4595432683.2,-0.5422509365643982,3,3.2625422636514543,3.8047932002158524
1325514600,127.75999,133.39999,126.42999,131.32001,2883820288,4.64,228,2012-01-02 14:30:00,2883820288,4368916337.6,-0.19125013177598316,2,3.5657305354958737,3.756980667271857
1328106600,132.28999,138.19,132.13,137.02,2895247792,4.34,229,2012-02-01 14:30:00,2895247792,4228353157.6,0.3682843905683435,0,4.217336155482286,3.8490517649139426
1330612200,137.31,141.83,134.36,140.81,3057517472,2.77,230,2012-03-01 14:30:00,3057517472,4145074846.4,0.9064615885215366,0,4.982128750565863,4.0756671620443266
1333373400,140.64,142.21001,135.75999,139.87,3035647424,-0.67,231,2012-04-02 13:30:00,3035647424,4069742509.6,1.0991167321180217,0,5.449563077191854,4.350446345073832
1335879000,139.78999,141.66,129.55,131.47,4004216000,-6.01,232,2012-05-01 13:30:00,4004216000,4067578045.6,0.5865211635026881,1,5.083597799452193,4.4970766359495045
1338557400,129.41,136.27,127.13499,136.105,3644913504,3.53,233,2012-06-01 13:30:00,3644913504,4061436314.4,0.4892856656711668,1,5.108683718038463,4.619398052367297
1341235800,136.48,139.339,132.60001,137.71001,2864744432,1.18,234,2012-07-02 13:30:00,2864744432,4005442911.2,0.4630049946202961,1,5.1981542956426665,4.73514930102237
1343827800,138.7,143.09,135.58,141.16,2413591520,2.51,235,2012-08-01 13:30:00,2413591520,3989981200.8,0.5992621419266282,0,5.484226978430655,4.884964836504027
1346679000,141.03999,148.11,140.13,143.97,2391232576,1.99,236,2012-09-03 13:30:00,2391232576,3966518107.2,0.7880435137760049,0,5.870019228724033,5.081975714948028
1349098200,144.52,147.16,140.39,141.35001,2719914704,-1.82,237,2012-10-01 13:30:00,2719914704,3961505683.2,0.6515244336208879,1,5.896381256974138,5.24485682335325
1351776600,141.64999,143.72,134.7,142.155,3032767968,0.57,238,2012-11-01 13:30:00,3032767968,3873585047.2,0.5353591542833289,1,5.914055766207412,5.378696611924083
1354545000,142.8,145.58,139.53999,142.41,2890499968,0.18,239,2012-12-03 14:30:00,2890499968,3877370060.8,0.40172155014875166,1,5.880848549610022,5.47912699946127
1357050600,145.11,150.94,144.73,149.7,2587139376,5.12,240,2013-01-01 14:30:00,2587139376,3839760894.4,0.7121797956455582,0,6.369351744018218,5.6571719483726595
1359729000,150.64999,153.28,148.73,151.61,2581458448,1.28,241,2013-02-01 14:30:00,2581458448,3733201022.4,0.9397517487356861,0,6.831861634292267,5.8921098855565806
1362148200,151.09,156.85001,150.41,156.67,2331212384,3.34,242,2013-03-01 14:30:00,2331212384,3657712681.6,1.3023262383918324,0,7.520017683546371,6.217691445154538
1364823000,156.59,159.72,153.55,159.67999,2907033824,1.92,243,2013-04-01 13:30:00,2907033824,3350534781.6,1.596715834726437,0,8.213586238562584,6.616870403836147
1367415000,159.33,169.07001,158.10001,163.44501,2781594944,2.36,244,2013-05-01 13:30:00,2781594944,3180184716.8,1.877481084134887,0,8.963721759004756,7.0862406748698685
1370266200,163.83,165.99001,155.73,160.42,3533328608,-1.85,245,2013-06-03 13:30:00,3533328608,3070955816.8,1.6973856675029664,1,9.207972759248577,7.51058709174561
1372685400,161.25999,169.86,160.22,168.71001,2331129456,5.17,246,2013-07-01 13:30:00,2331129456,2936782290.4,1.9561020702532197,0,9.955714679562135,7.999612609308915
1375363800,169.99001,170.9725,163.05,163.64999,2283239616,-3.0,247,2013-08-01 13:30:00,2283239616,2858512515.2,1.619868800061223,1,10.024448609385445,8.404579809324222
1378128600,165.23,173.60001,163.7,168.00999,2246638784,2.66,248,2013-09-02 13:30:00,2246638784,2826653440,1.5258301654366928,1,10.311867516120088,8.786037350683396
1380634200,168.14,177.51,164.53,175.79,2901740429,4.63,249,2013-10-01 13:30:00,2901740429,2826978071.85,1.8033034697568766,0,11.040166687879491,9.236863218122615
1383312600,176.02,181.75,174.76,181,1930952423,2.96,250,2013-11-01 13:30:00,1930952423,2770649819.4,2.1309655233435425,0,11.900570122302042,9.7696045989585
1385994600,181.09,184.69,177.32,184.69,2232670202,2.04,251,2013-12-02 14:30:00,2232670202,2730500958.3,2.371048575887354,0,12.733415318817691,10.362366742930337
1388586600,183.98,184.94,176.88,178.18,2530649614,-3.52,252,2014-01-01 14:30:00,2530649614,2656822639,1.887308986673494,1,12.721502976272205,10.834193989598711
1391437800,177.95,187.15,173.71,186.29,2394183674,4.55,253,2014-02-03 14:30:00,2394183674,2594286147.5,1.903962503059363,0,13.214147118422915,11.310184615363552
1393857000,184.69,189.0239,183.75,187.01,2554082542,0.39,254,2014-03-03 14:30:00,2554082542,2578753053,1.757427667673154,1,13.506969199954995,11.74954153228184
1396359000,187.62,189.7,181.31,188.31,2345900090,0.7,255,2014-04-01 13:30:00,2345900090,2575368481.5,1.54929984495676,1,13.68616633847779,12.13686649352103
1398951000,188.22,192.8,186.01,192.68,1780157245,2.32,256,2014-05-01 13:30:00,1780157245,2544814714.95,1.5058661956004098,1,14.019199238021542,12.513333042421133
1401715800,192.95,196.6,191.97,195.72,1675360233,1.58,257,2014-06-02 13:30:00,1675360233,2492586991.4,1.4796268605770742,1,14.362866618142476,12.883239757565402
